rank_id,gl,step,salary_per_annum_with_shift,salary_per_annum,monthly_salary,monthly_rent,shift_duty_allowance,domestic_servant,gross_emolument,tax,pension,nhf,total_deduction,net_pay
12,7,4,982539.00,794568.00,66214.00,12645.42,3918.83,,82778.25,3471.29,4966.05,1655.35,10092.69,72685.56
12,7,5,1002151.00,808891.00,67407.58,13014.58,3990.42,,84412.58,3597.14,5055.57,1685.19,10337.90,74074.69
12,7,6,1021766.00,823215.00,68601.25,13383.83,4062.08,,86047.16,3723.00,5145.09,1715.03,10583.13,75464.04
12,7,7,1041378.00,837538.00,69794.83,13753.00,4133.67,,87681.50,3848.84,5234.61,1744.87,10828.32,76853.18
12,7,8,1060992.00,851861.00,70988.42,14122.25,4205.33,,89316.00,3974.70,5324.13,1774.71,11073.54,78242.46
12,7,9,1080604.00,866184.00,72182.00,14491.42,4276.92,,90950.34,4100.54,5413.65,1804.55,11318.74,79631.60
12,7,10,1100218.00,880508.00,73375.67,14860.67,4348.50,,92584.84,4226.40,5503.18,1834.39,11563.97,81020.87
11,8,1,1622873.00,1374192.00,114516.00,14806.42,6817.00,,136139.42,8700.14,8588.70,2862.90,20151.74,115987.68
11,8,2,1646214.00,1391239.00,115936.58,15245.75,6902.17,,138084.50,8904.37,8695.24,2898.41,20498.03,117586.48
11,8,3,1669556.00,1408286.00,117357.17,15685.08,6987.42,,140029.67,9108.62,8801.79,2933.93,20844.34,119185.33
11,8,4,1692898.00,1425333.00,118777.75,16124.42,7072.67,,141974.84,9312.86,8908.33,2969.44,21190.64,120784.21
11,8,5,1716240.00,1442380.00,120198.33,16556.25,7157.92,,143912.50,9517.10,9014.88,3004.96,21536.93,122375.57
11,8,6,1739581.00,1459427.00,121618.92,17003.00,7243.17,,145865.09,9721.33,9121.42,3040.47,21883.22,123981.87
11,8,7,1762922.00,1476474.00,123039.50,17442.33,7328.33,,147810.16,9925.57,9227.96,3075.99,22229.52,125580.64
11,8,8,1786264.00,1493521.00,124460.08,17881.67,7413.58,,149755.33,10129.81,9334.51,3111.50,22575.82,127179.52
11,8,9,1809606.00,1510568.00,125880.67,18321.00,7498.83,,151700.50,10334.05,9441.05,3147.02,22922.12,128778.38
11,8,10,1832948.00,1527615.00,127301.25,18760.33,7584.08,,153645.66,10538.30,9547.59,3182.53,23268.43,130377.24
