rank_id,conhessp_gl,conhessp_step,conpass_gl,conpass_step,consolidated_salary_per_annum,monthly_consolidated_salary,non_clinic_allowance,call_duty,hazard_allowance,gross_emolument,tax,nhf,pension,total_deduction,net_pay
4,14,6,15,6,3911657,325971.42,48330,72120,5000,451421.42,34343.67,8149.29,24447.86,66940.81,384480.61
4,14,7,15,7,4010105,334175.42,50370,67160,5000,456705.42,0,8354.39,25063.16,33417.54,423287.88
4,14,8,15,8,4108553,342379.42,52410,69880,5000,469669.42,0,8559.49,25678.46,34237.94,435431.48
4,14,9,15,9,4207000,350583.33,54420,72560,5000,482563.33,0,8764.58,26293.75,35058.33,447505
3,15,1,16,1,4222544,351878.67,42540,56720,5000,456138.67,68193.82,8796.97,26390.9,103381.69,352756.98
3,15,2,16,2,4335751,361312.58,44850,59800,5000,470962.58,70239.56,9032.81,27098.44,106370.82,364591.77
3,15,3,16,3,4448958,370746.5,47160,62880,5000,485786.5,72381.63,9268.66,27805.99,109456.28,376330.22
3,15,4,16,4,4562165,380180.42,49470,65960,5000,500610.42,74434.27,9504.51,28513.53,112452.31,388158.11
3,15,5,16,5,4675372,389614.33,51780,69040,5000,515434.33,76540.19,9740.36,29221.08,115501.62,399932.71
3,15,6,16,6,4788579,399048.25,54090,72120,5000,530258.25,0,9976.21,29928.62,39904.83,490353.43
3,15,7,16,7,4901786,408482.17,56400,75200,5000,545082.17,0,10212.05,30636.16,40848.22,504233.95
3,15,8,16,8,5014993,417916.08,58710,78280,5000,559906.08,0,10447.9,31343.71,41791.61,518114.48
3,15,9,16,9,5128200,427350,61020,81360,5000,574730,0,10683.75,32051.25,42735,531995
