rank_id,conhesshn_gl,conhesshn_step,conpass_gl,conpass_step,consolidated_salary_per_annum,monthly_consolidated_salary,non_clinic_allowance,call_duty,hazard_allowance,gross_emolument,tax,nhf,pension,total_deduction,net_pay
5,13,5,14,5,3107490,258957.5,15097.75,20130,5000,299185.25,28732.57,6473.94,19421.81,54628.32,244556.93
5,13,6,14,6,3190506,265875.5,15717.58,20957,5000,307550.08,29666.36,6646.89,19940.66,56253.91,251296.17
5,13,7,14,7,3273522,272793.5,16337.5,21783,5000,315914,30600.12,6819.84,20459.51,57879.47,258034.53
5,13,8,14,8,3356538,279711.5,16957.33,22610,5000,324278.83,0,6992.79,20978.36,27971.15,296307.68
5,13,9,14,9,3439555,286629.58,17577.17,23436,5000,332642.75,0,7165.74,21497.22,28662.96,303979.79
4,14,1,15,1,3419418,284951.5,13956.42,18609,5000,322516.92,28732.42,7123.79,21371.36,57227.57,265289.35
4,14,2,15,2,3517866,293155.5,14701.33,19602,5000,332458.83,29854.68,7328.89,21986.66,59170.23,273288.6
4,14,3,15,3,3616314,301359.5,15446.25,20595,5000,342400.75,30976.94,7533.99,22601.96,61112.89,281287.86
4,14,4,15,4,3714761,309563.42,16191.17,21588,5000,352342.58,32099.18,7739.09,23217.26,63055.52,289287.06
4,14,5,15,5,3813209,317767.42,16936,22581,5000,362284.42,33221.42,7944.19,23832.56,64998.16,297286.26
4,14,6,15,6,3911657,325971.42,17680.92,23575,5000,372227.33,34343.67,8149.29,24447.86,66940.81,305286.52
4,14,7,15,7,4010105,334175.42,16337.5,21783,5000,377295.92,0,8354.39,25063.16,33417.54,343878.38
4,14,8,15,8,4108553,342379.42,16957.33,22610,5000,386946.75,0,8559.49,25678.46,34237.94,352708.81
4,14,9,15,9,4207000,350583.33,17577.17,23436,5000,396596.5,0,8764.58,26293.75,35058.33,361538.17
3,15,1,16,1,4222544,351878.67,15561.25,20748,5000,393187.92,68193.82,8796.97,26390.9,103381.69,289806.23
3,15,2,16,2,4335751,361312.58,16406.17,21875,5000,404593.75,70239.56,9032.81,27098.44,106370.82,298222.93
3,15,3,16,3,4448958,370746.5,17251.58,23002,5000,416000.08,72381.63,9268.66,27805.99,109456.28,306543.8
3,15,4,16,4,4562165,380180.42,18097.25,24130,5000,427407.67,74434.27,9504.51,28513.53,112452.31,314955.36
3,15,5,16,5,4675372,389614.33,18942.92,25257,5000,438814.25,76540.19,9740.36,29221.08,115501.62,323312.63
3,15,6,16,6,4788579,399048.25,19787.75,26384,5000,450220,0,9976.21,29928.62,39904.83,410315.18
3,15,7,16,7,4901786,408482.17,20633.17,27511,5000,461626.33,0,10212.05,30636.16,40848.22,420778.12
3,15,8,16,8,5014993,417916.08,21478.92,28639,5000,473034,0,10447.9,31343.71,41791.61,431242.39
3,15,9,16,9,5128200,427350,22323.92,29765,5000,484438.92,0,10683.75,32051.25,42735,441703.92
